compaid	Alien Attack	ALIEN-I	C	19	Disc163b	G	N	_
personal CW	Alien Blaster	BLASTER	c	19	DISC089b	g	n	F
Romik	Alien Break-In	A-b-i	c	19	Disc016a	g	n	K
C&VG	Alien Chase	aliench	c	19	Disc049a	g	n	A
Beebug	Alien Destroyer	alien	c	19	DISC079a	g	n	X
Micro Power	Alien Destroyers	Alien-l	c	19	Disc010a	g	n	U
Micro Power	Alien Destroyers 2#E	ALIEN	c	19	AltD002b	g	n	[
Superior 	Alien Dropout	dropout	c	19	Disc003b	g	n	L
HCW	Alien Fallout	FALL1	c	19	DISC109a	g	n	C
Incentive	Alien From Outta Space	Alns-l	c	19	Disc046a	g	n	Y
Games Computing	Alien Intruders	INTRUDE	c	19	Disc129b	g	n	G
Micro User	Alien Intruders 	intrud	c	19	DISC021b	g	n	O
Granada	Alien Invaders	ALIEN-I	c	19	Disc133a	g	n	E
PCG	Alien Invaders	attack	c	19	Disc066a	g	n	^
Micro User	Alien Invasion	invasio	c	19	DISC071a	g	n	K
Electon user	Alien Invasion#E	INVINST	C	19	Disc178b	G	N	L
popular CW	Alien Lander	AlandER	c	19	Disc143a	g	n	]
Micro Power	Alien Swirl	swirl	c	19	Disc002b	g	n	M
Self Pub.	Aliens	ALIENIN	C	19	Disc178b	G	N	C
Self Pub.	Aliens	ALIENS	C	19	Disc175b	G	N	A
Superior 	Aliens' Revenge	gala2in	c	19	Disc039a	g	y	N
self Pub.	All Rounder#STD	ROUNDER	C	19	Disc170a	G	N	Z
A&B	Ally Pally	ally	c	19	Disc032b	g 	n	G
Computer Gamer	Alphabet Chase	alpcoll	c	19	DISC072a	g	n	L
Self Pub.	Alphabet Soup	ALPHABE	c	19	Disc113b	s	n	I
Electon user	Alphaswap#E	ALPHASW	C	19	Disc160b	G	N	E
Tynesoft	Alphatron	loader	c	19	Disc032b	g	n	_
Unknown	Amateur Golf	golf	c	0e	Disc147b	G	N	D
8-Bit 	Amazed Knight	AMAZED	c	19	DISC085a	s	n	E
What Micro	Amazing	AMAZING	c	19	Disc114b	s	n	_
Unknown	Ambush	ambush	C	19	Disc149b	G	N	Q
Riverdale	AMERICAN SUDS pt1	amsud1b	C	19	STH021	A	N	H
Riverdale	AMERICAN SUDS pt2	amsud2b	C	19	STH021	A	N	G
Riverdale	AMERICAN SUDS pt3	amsud3b	C	19	STH021	A	N	F
Riverdale	AMERICAN SUDS pt4	amsud4b	C	19	STH021	A	N	E
PD	Amidar	AMID-L	c	19	AltD001a	g	n	C
Superior 	Amidar	crazy	c	19	Disc008a	g	n	S
A&B	AMNESIA	AMNESIA	C	19	STH008	G	N	P
Me and my micro	Anagrams#2E	ANAGINS	C	19	Disc180a	G	N	\
Atlantis	Anarchy Zone	zone	c	19	Disc038b	g	n	O
Atlantis	Anarchy Zone-Fast-Load#P	ZONE	c	19	AltD011b	g	n	U
A&B	Android	Android	c	19	Disc049b	g	n	P
Computer Concepts	Android Attack	Android	c	19	Disc018a	g	n	U
Acorn Computing	Androidz	DROID1	c	19	DISC084a	u	n	E
Lee	ANNABEL GRAY pt1	ANN-1	C	19	STH015	G	N	P
Lee	ANNABEL GRAY pt2	ANN-2	C	19	STH015	A	N	R
Kosmos 	Answer Back Junior Quiz#STD	ABJQ-I	c	19	Disc139a	s	n	W
Kosmos 	Answer Back Senior Quiz#STD	ABSQ-I	c	19	Disc138a	s	n	\
Kosmos 	Answer Back Sport Quiz	ABSP-I	c	19	Disc144a	u	n	_
Granada	Ant Hill?#E	ANT-INS	c	19	Disc137b	g	n	K
A&B	anthrosin	a.anthro	C	14	STH005	A	N	W
Alligata	Anti-Ballistic Miss Comand	ABMINST	c	19	DISC109a	g	n	G
inufuto	AntiAir	ANTI-IN	C	19	Disc182b	G	N	D
Self Pub.	Antique Freak	ANTIQUE	c	19	DISC110a	g	n	\
SilIcon	Antix	antix	c	19	Disc049b	g	n	B
Self Pub.	AntKiller	antkill	c	19	Disc014a	g	n	F
Invasion	Apollo	apollo	c	19	Disc059a	g	n	E
PCG	Apple Orchard	orchard	c	19	DISC070b	g	n	^
Visions	Apple Pie	apple	c	19	Disc033b	g	n	E
popular CW	April Fool Island	APF-INS	c	19	Disc140a	a	n	J
Bevan Tech	April Showers	april	c	19	Disc014b	g	n	I
PD	Aqua Attack	attack	c	19	Disc011b	g	n	M
Electron user group	Aquaman	AQUAMAN	c	19	Disc113a	g	n	B
Micro User	Arachnoid	ARACH-L	c	19	Disc115b	g	y	O
Self Pub.	Arc Pinball	BOOT1	c	19	DISC090b	g	n	_
Microbyte	Arcade Pinball	pinball	c	19	Disc018a	g	n	F
4th Dimension	Arcade Soccer	arcade	c	19	Disc045b	g	n	L
Everiss 	Arcadia	ARC	c	19	AltD002a	g	n	M
Acornsoft	Arcadians	arc	c	19	Disc002a	g	y	\
For All	Area Radar Controller	arc	c	19	DISC074b	s	n	F
Microdeal	Arena 3000	arena	c	19	DISC021b	g	n	C
Micro User	Arena:6502	loader	c	19	Disc062a	g	n	F
Electron User	Arena#E	arena	c	19	DISC070b	g	n	C
Acorn Programs	Argon Attack	airatta	c	19	Disc059b	u	n	C
boulsworth 	Ariadne	ARIADN1	c	19	Disc116b	a	n	\
IJK 	Arkanoid	arkinst	c	19	Disc036b	g	n	I
Your Comp.	Armoured Toms	toms1	c	19	Disc049b	g	n	W
Digital Fantasia	Arrow Of Death Pt 1	death	c	19	DISC094a	a	n	G
Digital Fantasia	Arrow Of Death Pt 2	DEATH	c	19	DISC096a	a	n	Q
Self Pub.	Artemidorus	A-DORUS	c	19	Disc112a	g	n	[
Beebug	Artillery Duel#2	ARTIL-L	c	19	Disc129b	g	n	J
Micro Press	Artillery#2	ART-INS	c	19	Disc139a	s	n	Y
inufuto	Ascend	ASCE-IN	C	19	Disc170b	G	N	R
self Pub.	ASCII Invaders	INVINST	C	19	Disc160b	G	N	U
Unknown	Aspirin	04	C	19	Disc150a	G	N	L
Fast Access	Astefix	astefix	c	19	Disc062b	s	n	A
ILMN	asterbliperoids	CLASSIC	R	19	STH025	G	N	I
Beebug	Asterisk Tracker	ASTER-L	C	19	Disc176b	G	N	I
Practical Comp.	Asteroid Belt	AST-INS	c	19	Disc133a	g	n	C
Computer Concepts	Asteroid Belt	Belt-l	c	19	Disc010a	g	n	W
Games Computing	Asteroid Chase	ASTER	c	19	Disc127b	g	n	F
popular CW	Asteroid Dodge	DODGE	c	19	Disc134a	g	n	N
ASP	Asteroid Lander	ASTEROI	c	19	DISC108a	g	n	B
Self Pub.	Asteroid Lander 	astland	C	19	Disc150b	G	N	G
Optima	Asteroid Miner	astmine	c	19	Disc028a	 g	n	G
Electron User	Asteroid Prospector#E	ASTEROI	c	19	DISC107b	g	n	S
Micro Power	Asteroid Storm	Storm-l	c	19	Disc012a	g	n	P
Trickysoft	Asteroids	astinst	C	19	Disc156b	G	N	R
Atari	Asteroids Deluxe	astroid	c	19	Disc016b	g	n	O
Electron User	AsteRoydZ#E	ASTINST	C	19	Disc165b	G	N	Q
Acorn User	Astro Blaster	AST-INS	C	19	Disc157a	G	N	G
HiTech	Astro Blaster	blast	c	19	Disc028b	g	n	X
Micro Power	Astro Navigator	navigat	c	19	Disc031a	g	n	B
Blue Ribbon	Astro Plumber	plumber	c	19	Disc020a	g	n	Y
Beebug	Astro Tracker	astro1	c	19	Disc005b	g	n	H
Beebug	Astro Wars	astro	c	19	Disc040a	g	n	E
micro user	Astro-Mines	HEADER	c	19	Disc116b	g	n	I
HiTech	Astroblaster#R	ASTRO	c	19	DISC110b	g	n	R
Self Pub.	Astrorun	astro	c	19	Disc058a	g	n	F
popular CW	Astrosmash	ASMASH	c	19	Disc145a	g	n	T
Melbat Soft	Asylum	asylum	c	19	Disc020b	g	n	C
self Pub.	Athlete Hunter#j	ATHLETE	C	19	Disc158b	G	N	J
Ultimate	Atic Atac	Atic-lo	c	19	Disc010b	g	n	_
IJK 	Atlantis	atlanti	c	19	Disc022a	g	n	V
Romik	Atom Smasher	Atom-sm	c	19	Disc029b	g	n	_
Alternative	Atom Smasher#E	atomsma	c	19	Disc050a	g	n	P
Optima	Atomic Protector	atompro	c	19	Disc024b	g	n	M
self Pub.	Atomix	LOADER	C	19	Disc159b	G	N	X
PCG	Attack	attack	c	19	Disc066a	g	n	^
Self Pub.	Attack	ATTACK	C	19	Disc172a	G	N	I
Granada	Attack	ATTINST	c	19	Disc140a	g	n	O
Invasion	Attack On Alpha Centauri	alpha	c	19	Disc005b	g	n	P
Retro 	Attic Bug	LOADER	c	19	DISC106b	g	n	U
A&B	Audax	AUDAX	c	19	DISC085b	g	n	^
Tynesoft	Auf Wiedersehen Pet	auf	c	19	Disc024a	g	n	I
database	Aussi  SUDS	aussie1	C	19	STH021	A	N	D
Ixion	Avaunting	AVAUNT	c	19	DISC100a	a	n	B
The micro user	Avengence!	Aveng-i	C	19	Disc150a	G	N	I
Your Comp.	Avenger	aveng-l	c	19	Disc067b	g	n	X
Acornsoft	Aviator	avia	c	19	Disc003b	g	y	H
Acornsoft	Aviator?(Colour)	AVIATOR	c	19	AltD003b	g	n	J
Understanding	Awari	awari	c	19	DISC078a	s	n	F
CSL Microdata	Awari	AWARI	c	19	DISC108a	s	n	U
Electron User	Awari#E	AWARI	C	19	Disc180a	G	N	]
Elk Adventure Club	AXE OF KOLT	k-2	C	19	STH014	A	N	R
Elk Adventure Club	AXE OF KOLT	k-3	C	19	STH014	A	N	P
Elk Adventure Club	AXE OF KOLT	k-4	C	19	STH014	A	N	N
Elk Adventure Club	AXE OF KOLT	Kolt	C	19	STH014	A	N	U
The micro user	Ayo	Ayo-ins	C	19	Disc153a	G	N	R
Unknown	Ayo	AYO1	C	19	Disc173b	G	N	B
self Pub.	AZircon	ZIRINST	C	19	Disc158b	G	N	E
IJK 	B.C. Bill	Bc-inst	c	19	Disc005a	g	n	J
popular CW	B*Bert 	bbertin	C	19	Disc153b	G	N	F
personal CW	Baby Monty	monty	c	19	Disc060a	g	n	Q
Acorn Programs	Babysitter	BABYSIT	c	19	Disc131a	g	n	D
Beebug	Backgammon	BACK-IN	C	19	Disc160a	G	N	B
CDS	Backgammon	Back-l	c	19	Disc057b	s	n	J
TG	Backgammon	BCKG	c	19	DISC090a	s	n	K
Alternative	Backgammon	GAMMON	c	19	DISC082a	s	n	Y
Your Comp.	Backgammon (YC)	BACKGAM	c	19	Disc119a	s	n	Y
HCW	Badd Egg	badegg1	c	19	DISC078a	g	n	H
DossySoft	Ball Game	MENU	c	19	DISC103a	g	n	\
Micro User	Ball Lightning	header	c	19	DISC077b	g	n	]
Superior 	Ballistix	ballist	c	19	Disc048b	g	n	_
Blue Ribbon	Balloon Buster	balloon	c	19	Disc048b	g	n	G
personal CW	Balloon Fun	balloon	c	19	Disc063b	g	n	_
Self Pub.	Ballooning	balloon	c	19	Disc067a	g	n	W
Unknown	Balloonist	Balloon	C	e0	Disc146a	G	N	J
Unknown	Balloons	05	C	19	Disc148a	G	N	E
Self Pub.	Balloons	BALLCJE	c	19	Disc112b	g	n	Z
Micro User	Balls Of Destiny	destin1	c	19	Disc064b	g	n	G
Yes	Balls!#2	balls	c	19	Disc060b	g	n	R
C&VG	Balltrap	balltra	c	19	DISC078a	g	n	E
8-Bit 	Banana Drama	bananad	c	19	DISC075b	g	n	B
Bananasoft	Banana Game	BANANA	c	19	DISC081b	g	n	Z
MRM 	Banana Man	Intro	c	19	Disc001b	g	y	T
Blue Ribbon	Banana Man	OK	c	19	AltD004b	g	n	\
Acornsoft	Bandit	bandit	c	19	Disc038b	g	n	B
self Pub.	Bandit	BANDIT	C	19	Disc160b	G	N	D
Deskflair Games	Bandits	bandits	c	19	Disc046b	g	n	_
Oak 	Bandits	bandits	c	19	AltD003a	g	n	^
Micro Power	Bandits At 3 O'Clock	bandits	c	19	Disc012b	g	n	S
Micro Power	Bandits At 3#J	DOGFIGH	c	19	AltD002a	g	n	O
Orbit	Banished Prince#E	BAN-1	c	19	DISC097a	a	n	E
Robico	Banjax	loader	c	19	Disc012a	g	n	F
Acorn Programs	Bank Robber	BANKROB	c	19	Disc128b	g	n	N
Blue Ribbon	Bar Billiards	Bar-bbc	c	19	Disc031a	g	n	R
Acorn Programs	Bar Maze	maze	c	19	Disc061b	g	n	Y
Superior 	Barbarian A&B	barbari	c	19	Disc043b	g	n	W
Superior 	Barbarian II:	barbari	c	19	Disc055b	g	n	_
Disk user	Barmy Butterflies#STD	barmy	c	11	Disc146a	G	N	G
Micro User	Barny-Bee	BARNY	c	19	DISC084b	g	n	V
Superior 	Baron	baron	c	19	Disc047b	g	n	I
Fontana Pub	Barrage	BAR-INS	c	19	Disc140b	g	n	F
Micro Power	Barrage	BARRAGE	c	19	DISC105a	g	n	_
Micro User	Barrel Battle	barrels	c	19	Disc031a	g	n	A
Bug-Byte	Bat & Ball	BATBALL	c	19	Disc124a	g	n	]
Prentice Hall	Bat'n'Moths	BATMOTH	C	19	Disc176b	G	N	M
CCS	Battle 1917	battle	c	19	DISC086b	g	n	U
Betasoft	Battle Of Britain	britain	c	19	Disc056a	g	n	U
C&VG	Battle Of Britain#STD	BATINST	c	19	Disc113a	g	n	[
ISP	Battle Planet	battle	c	19	Disc029b	g	n	M
Duckworth	Battle Ships	BATTINS	C	19	Disc173b	G	N	P
Superior 	Battle Tank	batank	c	19	Disc003a	g	n	Y
BBC Soft	Battlefields	TITLE	c	19	DISC088b	g	n	V
self Pub.	Battleships	B_SHIPS	C	19	Disc163a	G	N	V
Micro User	Battleships	BATT-IN	c	19	Disc117b	s	n	[
Self Pub.	Battleships	BATTLE	c	19	DISC082a	s	n	M
A&B	Battleships	BATTLES	c	19	Disc135a	s	n	D
Century	Battleships	BATTLES	c	19	Disc141b	s	n	J
popular CW	Battleships	BSHIPIN	C	19	Disc179a	G	N	R
PD	Battleships	BSHIPS	c	19	Disc127a	s	n	B
Self Pub.	Battleships?#2	BATSHIP	c	19	Disc113b	s	n	H
self Pub.	Battleships#D	SHIPS	C	19	Disc171a	G	N	D
Lothlorien	Battlezone 2000	bz2	c	19	Disc056b	g	n	M
KCS	Battlezone Six	INTRO	c	19	DISC108b	g	n	T
Atari	Battlezone#R#D	BZ-INST	C	19	Disc173a	G	N	Z
inufuto	Battlot	BATT-IN	C	19	Disc169a	G	N	W
Electron Computing	Batzplat?#E	BATZPLA	c	19	Disc122a	g	n	B
Laserbug	Bazooka	BAZ-INS	c	19	Disc131b	g	n	O
Self Pub.	BBC Backgammon	back	C	19	Disc147b	G	N	C
Audiogenic	BBC Bonanza	wizzy	c	19	Disc022b	g	n	N
C&VG	BBC Defend	DEFENDE	c	19	AltD012b	g	n	A
Mirrorsoft	BBC Mastermind	MASTER	c	19	DISC084b	s	n	U
unknown	BBC Planes?#D	PLANESL	C	19	Disc171b	G	N	Q
Self Pub.	BBC Tetris	TETRIS	c	19	Disc115b	g	n	V
U.S. Gold	Beach-Head	bhead	c	19	Disc016b	g	y	[
Micro User	Beastiroids	beastir	c	19	Disc052a	g	n	P
Micro User	Beasty Bugs	BEAST-L	c	19	Disc135b	s	n	\
Unknown	Beat The Odds!#E	odds	C	0e	Disc156a	G	N	C
Self Pub.	Beat The Tune#2#E	tune	C	19	Disc155b	G	N	E
Optima	Bed Bugs	bedbugs	c	19	Disc039a	g	n	F
self Pub.	Bee Beater	BBEATER	C	19	Disc163b	G	N	D
IJK 	Beeb Beep	beeb-be	c	19	Disc063b	g	n	A
self Pub.	Beeb Chase	BEEB	C	19	Disc171a	G	N	T
Unknown	Beeb Dice	DICE	C	19	Disc179b	G	N	M
C&VG	Beeb Invaders	INVADER	c	19	DISC084a	g	n	^
Niblesoft	Beeb Invaders	INVADER	c	19	Disc125b	g	n	^
personal CW	Beeb Patience	PATIENC	c	19	Disc122b	s	n	[
Your Comp.	Beeb-Darts	DARTS	c	19	Disc121b	g	n	R
Micro Power	Beeb-Tote	TOTE	c	19	Disc115b	s	n	R
A&B	Beeb-Word#2	BEEBINS	C	19	Disc176a	G	N	P
Bug-Byte	Beebgammon	BEEBGAM	c	19	DISC085b	s	n	H
PD	Beebmaze	BEEBMZE	c	19	DISC082a	g	n	^
IJK 	Beebmunch	beebmun	c	19	Disc026b	g	n	H
Retro 	Beebout	BEEBOUT	c	19	DISC109b	g	n	H
For All	Beebtrek	BEEBINS	c	19	Disc113b	g	n	F
Unknown	Beebtrek	beebtre	C	19	Disc157a	G	N	U
Epsilon 	Beebtrek (BBC)	BEEB	c	19	AltD010a	s	n	Z
Beebug	Beebug Draughts	DRAU-L	c	19	DISC083b	s	n	H
Self Pub.	Beebvaders	beebvad	c	19	DISC079b	g	n	W
Robico	Beeline	bee	c	19	Disc011a	g	n	_
PCG	Bees Away	beesawa	c	19	DISC075b	g	n	_
IJK	beetle	fgbeetl	C	19	STH025	G	N	J
Self Pub.	Beetle Drive	beetle	C	19	Disc154b	G	N	X
self Pub.	Beleaguered Castle#E	CASTLE1	C	19	Disc166b	G	N	E
Your Comp.	Bertie	bertie1	c	19	DISC079a	g	n	[
Practical Comp.	Bertie The Beetle	BERTINS	c	19	Disc141b	g	n	M
Tynesoft	Beverly Hills Cop	loader	c	19	Disc058b	g	n	X
Tynesoft	Big K.O.!	boxing	c	19	Disc041a	g	n	U
Micro User	Bill Bounces Back!	bounce	c	19	Disc026a	g	n	H
H&H sw	Billiards	BILL-L	c	19	Disc125a	s	n	E
Fast Access	Bio-Chip	biochip	c	19	DISC072a	g	n	]
Let's Compute!	Bird Basher	bird1	c	19	Disc052b	g	n	W
